area_name,area_code,total_residents_16_74,unemployed,unemployment_rate,total_households_2011,private_rented_2011,pct_private_rented_2011,total_usual_residents,no_qualifications,level4_and_above,pct_no_quals,pct_level4,total_households_2021,private_rented_2021,pct_private_rented_2021
Darlington,E06000005,76635,4002,0.0522,46670,8513,0.1824,85357,21179,20244,0.2481,0.2372,48915,10078,0.206
County Durham,E06000047,383796,17013,0.0443,223803,28142,0.1257,425258,116948,91249,0.275,0.2146,234764,40198,0.1712
Hartlepool,E06000001,66804,5194,0.0777,40434,5971,0.1477,74228,22758,13063,0.3066,0.176,40929,7194,0.1758
Middlesbrough,E06000002,100551,7631,0.0759,57203,9509,0.1662,110409,33002,20472,0.2989,0.1854,60265,12677,0.2104
Northumberland,E06000057,233224,10329,0.0443,138534,18417,0.1329,262162,62584,67024,0.2387,0.2557,146922,24128,0.1642
Redcar and Cleveland,E06000003,99177,6533,0.0659,59605,7434,0.1247,111011,31550,21013,0.2842,0.1893,61638,9748,0.1581
Stockton-on-Tees,E06000004,140654,8075,0.0574,79159,10387,0.1312,154503,36728,35250,0.2377,0.2282,83756,14207,0.1696
Gateshead,E08000037,148079,7419,0.0501,89154,11125,0.1248,164716,46192,35409,0.2804,0.215,88999,14584,0.1639
Newcastle upon Tyne,E08000021,212864,10652,0.05,117153,22318,0.1905,232203,54885,63073,0.2364,0.2716,122797,27978,0.2278
North Tyneside,E08000022,147889,7304,0.0494,91295,11300,0.1238,165088,39157,41734,0.2372,0.2528,96232,14625,0.152
South Tyneside,E08000023,108981,7145,0.0656,67167,6758,0.1006,122200,34189,23514,0.2798,0.1924,68288,9025,0.1322
Sunderland,E08000024,205552,12016,0.0585,119758,14552,0.1215,227314,66036,41337,0.2905,0.1818,122177,18096,0.1481
Blackburn with Darwen,E06000008,104417,5575,0.0534,57353,8993,0.1568,113122,32485,22416,0.2872,0.1982,58767,11850,0.2016
Blackpool,E06000009,103813,6337,0.061,64367,16770,0.2605,116699,36559,18098,0.3133,0.1551,64783,20569,0.3175
Cheshire East,E06000049,270953,8742,0.0323,159441,19938,0.125,304374,59806,97248,0.1965,0.3195,174854,27114,0.1551
Cheshire West and Chester,E06000050,243155,8949,0.0368,141442,17734,0.1254,271473,56940,79712,0.2097,0.2936,155154,24384,0.1572
Halton,E06000006,92708,5151,0.0556,53312,5212,0.0978,100819,27126,17792,0.2691,0.1765,55951,8018,0.1433
Warrington,E06000007,149461,5961,0.0399,85140,9549,0.1122,163477,33815,44870,0.2068,0.2745,90538,13773,0.1521
Allerdale,E07000026,70978,2553,0.036,42345,4142,0.0978,80155,21636,18254,0.2699,0.2277,43973,5363,0.122
Barrow-in-Furness,E07000027,51103,2365,0.0463,31224,4442,0.1423,56796,14422,10785,0.2539,0.1899,31259,5259,0.1682
Carlisle,E07000028,79531,2847,0.0358,48342,6914,0.143,89042,22164,19766,0.2489,0.222,50663,8900,0.1757
Copeland,E07000029,52702,2235,0.0424,30536,2665,0.0873,58613,15800,12307,0.2696,0.21,30788,3399,0.1104
Eden,E07000030,38735,822,0.0212,23043,3685,0.1599,43976,9968,12059,0.2267,0.2742,24613,4452,0.1809
South Lakeland,E07000031,75831,1524,0.0201,46552,6633,0.1425,87777,16583,29277,0.1889,0.3335,47657,7974,0.1673
Bolton,E08000001,200723,9913,0.0494,116371,15930,0.1369,219710,57888,48688,0.2635,0.2216,118790,21372,0.1799
Bury,E08000002,134687,5769,0.0428,78113,10774,0.1379,147935,33377,37989,0.2256,0.2568,80696,14249,0.1766
Manchester,E08000003,382932,21880,0.0571,204969,58170,0.2838,405709,93765,117243,0.2311,0.289,214730,69403,0.3232
Oldham,E08000004,159765,8661,0.0542,89703,10944,0.122,174438,51620,32458,0.2959,0.1861,93140,16498,0.1771
Rochdale,E08000005,152742,9047,0.0592,87552,11556,0.132,166916,47906,32371,0.287,0.1939,90222,16503,0.1829
Salford,E08000006,173117,9041,0.0522,103556,19420,0.1875,188780,51175,42103,0.2711,0.223,115117,30853,0.268
Stockport,E08000007,205310,8002,0.039,121979,13852,0.1136,229822,47430,68506,0.2064,0.2981,126648,18192,0.1436
Tameside,E08000008,161459,8052,0.0499,94953,12573,0.1324,176616,49547,30994,0.2805,0.1755,99527,17459,0.1754
Trafford,E08000009,162806,6136,0.0377,94484,12001,0.127,180754,33573,61051,0.1857,0.3378,96269,14744,0.1532
Wigan,E08000010,236495,11483,0.0486,136386,15875,0.1164,257825,70486,50374,0.2734,0.1954,143105,22761,0.1591
Burnley,E07000117,63376,3342,0.0527,37550,7267,0.1935,69915,20512,13092,0.2934,0.1873,39871,9696,0.2432
Chorley,E07000118,79951,2588,0.0324,44919,4587,0.1021,87532,18594,24361,0.2124,0.2783,50135,6964,0.1389
Fylde,E07000119,54544,1687,0.0309,34885,6066,0.1739,63757,13497,18982,0.2117,0.2977,37606,7230,0.1923
Hyndburn,E07000120,58356,2688,0.0461,34341,6235,0.1816,64092,17942,12132,0.2799,0.1893,34790,8035,0.231
Lancaster,E07000121,103296,3362,0.0325,57822,10929,0.189,115405,23804,31396,0.2063,0.2721,59978,13029,0.2172
Pendle,E07000122,64440,3012,0.0467,37348,6760,0.181,71128,20031,14392,0.2816,0.2023,38066,8741,0.2296
Preston,E07000123,104085,4575,0.044,57567,10365,0.1801,113422,26601,27930,0.2345,0.2462,59607,13333,0.2237
Ribble Valley,E07000124,41285,852,0.0206,24045,3278,0.1363,46552,8533,15817,0.1833,0.3398,26747,4003,0.1497
Rossendale,E07000125,50075,2090,0.0417,29058,4106,0.1413,54811,13130,13776,0.2396,0.2513,30561,5207,0.1704
South Ribble,E07000126,80458,2421,0.0301,46102,4308,0.0934,89163,18136,23537,0.2034,0.264,48585,6217,0.128
West Lancashire,E07000127,81601,3180,0.039,45381,4744,0.1045,90712,21296,23000,0.2348,0.2535,48534,6722,0.1385
Wyre,E07000128,77663,2464,0.0317,47281,6397,0.1353,90467,23409,20793,0.2588,0.2298,50769,9241,0.182
Knowsley,E08000011,106155,6926,0.0652,61323,5980,0.0975,117225,40647,18120,0.3467,0.1546,66073,9461,0.1432
Liverpool,E08000012,356876,23980,0.0672,206515,48290,0.2338,388315,111532,87126,0.2872,0.2244,207491,54067,0.2606
Sefton,E08000014,198197,9708,0.049,117930,15804,0.134,226435,56921,54490,0.2514,0.2406,123073,22457,0.1825
St. Helens,E08000013,129584,6640,0.0512,75736,7736,0.1021,143372,39950,29924,0.2786,0.2087,81013,12264,0.1514
Wirral,E08000015,230851,11939,0.0517,140583,22275,0.1584,260498,61014,65809,0.2342,0.2526,143252,27091,0.1891
East Riding of Yorkshire,E06000011,245594,8795,0.0358,143032,19648,0.1374,278333,65035,72004,0.2337,0.2587,152066,25732,0.1692
"Kingston upon Hull, City of",E06000010,190610,15296,0.0802,112596,22984,0.2041,208040,65851,31687,0.3165,0.1523,115475,27593,0.239
North East Lincolnshire,E06000012,115823,7486,0.0646,69707,12627,0.1811,129377,38209,20970,0.2953,0.1621,69826,15644,0.224
North Lincolnshire,E06000013,122329,5869,0.048,70684,9477,0.1341,136105,35633,26583,0.2618,0.1953,73172,12555,0.1716
York,E06000014,149789,4582,0.0306,83552,14980,0.1793,166275,29863,53875,0.1796,0.324,85458,17084,0.1999
Craven,E07000163,40056,1003,0.025,24583,3782,0.1538,46161,9356,14663,0.2027,0.3176,26069,4718,0.181
Hambleton,E07000164,65255,1670,0.0256,38117,5770,0.1514,74039,14536,23736,0.1963,0.3206,40800,6826,0.1673
Harrogate,E07000165,114038,2931,0.0257,67169,11771,0.1752,129036,22312,44002,0.1729,0.341,71169,13522,0.19
Richmondshire,E07000166,38652,1116,0.0289,20207,4519,0.2236,42698,7925,11513,0.1856,0.2696,20946,4866,0.2323
Ryedale,E07000167,37581,1029,0.0274,22524,3773,0.1675,43200,10369,11793,0.24,0.273,24715,4841,0.1959
Scarborough,E07000168,79393,3371,0.0425,49435,9640,0.195,91402,23755,20742,0.2599,0.2269,51124,11081,0.2167
Selby,E07000169,61831,2154,0.0348,34559,3796,0.1098,68135,14431,17786,0.2118,0.261,39562,5310,0.1342
Barnsley,E08000016,170405,8738,0.0513,100734,12856,0.1276,188335,60890,32724,0.3233,0.1738,108053,18569,0.1719
Doncaster,E08000017,220877,12697,0.0575,126487,18774,0.1484,244909,74119,41714,0.3026,0.1703,133480,25941,0.1943
Rotherham,E08000018,187959,9821,0.0523,108293,12262,0.1132,208018,62076,36165,0.2984,0.1739,113926,17035,0.1495
Sheffield,E08000019,411004,19626,0.0478,229928,35760,0.1555,452014,109841,116007,0.243,0.2566,231948,43424,0.1872
Bradford,E08000032,366217,21224,0.058,199296,36070,0.181,400121,110892,87397,0.2771,0.2184,209867,48278,0.23
Calderdale,E08000033,148766,7394,0.0497,88621,14545,0.1641,163645,38943,40881,0.238,0.2498,90476,18437,0.2038
Kirklees,E08000034,307194,14465,0.0471,173525,26941,0.1553,336309,85554,80275,0.2544,0.2387,177989,33942,0.1907
Leeds,E08000035,560849,26786,0.0478,320596,57456,0.1792,613992,142481,165429,0.2321,0.2694,341466,74402,0.2179
Wakefield,E08000036,240997,11702,0.0486,140414,16017,0.1141,265797,82621,48772,0.3108,0.1835,153075,22754,0.1486
Derby,E06000015,179291,9297,0.0519,102271,17193,0.1681,198076,47731,47955,0.241,0.2421,105651,22453,0.2125
Leicester,E06000016,242232,14982,0.0618,123125,27999,0.2274,260560,74409,55223,0.2856,0.2119,127389,37437,0.2939
Nottingham,E06000018,232072,14775,0.0637,126131,29098,0.2307,250104,63991,54875,0.2559,0.2194,124743,35688,0.2861
Rutland,E06000017,27052,643,0.0238,15002,2333,0.1555,30683,5453,10096,0.1777,0.329,16691,2790,0.1672
Amber Valley,E07000032,90558,3503,0.0387,52596,6200,0.1179,100841,27220,23346,0.2699,0.2315,56277,8235,0.1463
Bolsover,E07000033,55945,2612,0.0467,32801,4276,0.1304,62192,20455,9853,0.3289,0.1584,35262,6056,0.1717
Chesterfield,E07000034,76409,3557,0.0466,46796,5813,0.1242,85595,23618,17994,0.2759,0.2102,48058,7781,0.1619
Derbyshire Dales,E07000035,51978,1394,0.0268,30744,3860,0.1256,59299,12773,19816,0.2154,0.3342,32283,4650,0.144
Erewash,E07000036,82609,3742,0.0453,48692,6265,0.1287,91948,23808,19015,0.2589,0.2068,50336,8470,0.1683
High Peak,E07000037,67389,2576,0.0382,38946,5231,0.1343,74416,15520,21884,0.2086,0.2941,40772,6545,0.1605
North East Derbyshire,E07000038,73460,2697,0.0367,43070,3183,0.0739,82699,22277,18340,0.2694,0.2218,45987,4608,0.1002
South Derbyshire,E07000039,69450,2125,0.0306,38992,5087,0.1305,75910,16707,19701,0.2201,0.2595,45239,6648,0.147
Blaby,E07000129,68558,1963,0.0286,38686,3876,0.1002,76334,16964,18988,0.2222,0.2487,42575,5449,0.128
Charnwood,E07000130,124967,3864,0.0309,66516,9396,0.1413,137878,28265,36916,0.205,0.2677,73785,12814,0.1737
Harborough,E07000131,61913,1517,0.0245,34898,3922,0.1124,69034,12461,21982,0.1805,0.3184,40414,5439,0.1346
Hinckley and Bosworth,E07000132,77716,2448,0.0315,45377,5156,0.1136,86475,21089,20803,0.2439,0.2406,49445,7114,0.1439
Melton,E07000133,36955,1067,0.0289,21490,3054,0.1421,41237,8808,10785,0.2136,0.2615,22599,3881,0.1717
North West Leicestershire,E07000134,68556,2361,0.0344,39128,4411,0.1127,75791,19691,18402,0.2598,0.2428,44974,6074,0.1351
Oadby and Wigston,E07000135,40797,1314,0.0322,21339,2117,0.0992,46359,10461,11476,0.2257,0.2475,22616,3623,0.1602
