area_name,area_code,PC1,PC2,unemployment_rate,pct_private_rented_2021,pct_level4
Darlington,E06000005,-0.20164317468828222,1.167233566705335,0.0522,0.206,0.2372
County Durham,E06000047,-1.3383523998069597,0.3955332843209116,0.0443,0.1712,0.2146
Hartlepool,E06000001,-1.8882368691425577,2.730479216559239,0.0777,0.1758,0.176
Middlesbrough,E06000002,-1.3031772802539523,2.91429104361558,0.0759,0.2104,0.1854
Northumberland,E06000057,-0.7106675984146628,-0.028244160918745827,0.0443,0.1642,0.2557
Redcar and Cleveland,E06000003,-1.853412495843173,1.6008773319524559,0.0659,0.1581,0.1893
Stockton-on-Tees,E06000004,-0.9477557111675433,0.7806545853637467,0.0574,0.1696,0.2282
Gateshead,E08000037,-1.4917316507614409,0.6854980697293601,0.0501,0.1639,0.215
Newcastle upon Tyne,E08000021,0.3959968617461171,1.0482715589302138,0.05,0.2278,0.2716
North Tyneside,E08000022,-0.9285613137131618,0.09132992310880321,0.0494,0.152,0.2528
South Tyneside,E08000023,-2.2097544870742634,1.1900018945401774,0.0656,0.1322,0.1924
Sunderland,E08000024,-2.0186912883450177,1.1917687849926768,0.0585,0.1481,0.1818
Blackburn with Darwen,E06000008,-1.106198481425845,1.4600421754123474,0.0534,0.2016,0.1982
Blackpool,E06000009,0.15266157599367683,3.753637834154998,0.061,0.3175,0.1551
Cheshire East,E06000049,0.05270579785949699,-1.3335890610886134,0.0323,0.1551,0.3195
Cheshire West and Chester,E06000050,-0.2553630020751585,-0.8845025277335496,0.0368,0.1572,0.2936
Halton,E06000006,-2.084374964716158,0.6921693260503521,0.0556,0.1433,0.1765
Warrington,E06000007,-0.535968529599437,-0.803458649303119,0.0399,0.1521,0.2745
Allerdale,E07000026,-1.782173277883081,-0.6693047299730455,0.036,0.122,0.2277
Barrow-in-Furness,E07000027,-1.1888743884357849,0.5211809120597698,0.0463,0.1682,0.1899
Carlisle,E07000028,-0.791186367507866,-0.12933848744472057,0.0358,0.1757,0.222
Copeland,E07000029,-2.1268008436613557,-0.42497959929880474,0.0424,0.1104,0.21
Eden,E07000030,0.060618253870052104,-1.1032302952804898,0.0212,0.1809,0.2742
South Lakeland,E07000031,0.5558610445430073,-1.8796532792220357,0.0201,0.1673,0.3335
Bolton,E08000001,-1.0486406997109887,0.6914633512843412,0.0494,0.1799,0.2216
Bury,E08000002,-0.42715549783455753,-0.09083002980242162,0.0428,0.1766,0.2568
Manchester,E08000003,2.1034267735532044,2.643123855970113,0.0571,0.3232,0.289
Oldham,E08000004,-1.7815640316599433,1.196994636021634,0.0542,0.1771,0.1861
Rochdale,E08000005,-1.543914681547592,1.4761657822614482,0.0592,0.1829,0.1939
Salford,E08000006,0.014768065142098052,1.8644131708401768,0.0522,0.268,0.223
Stockport,E08000007,-0.4225076314289487,-0.9872158039564853,0.039,0.1436,0.2981
Tameside,E08000008,-1.5951999918558581,0.9489070988415012,0.0499,0.1754,0.1755
Trafford,E08000009,0.24268789638908592,-1.1949164192507635,0.0377,0.1532,0.3378
Wigan,E08000010,-1.6591314609519414,0.5288446839265162,0.0486,0.1591,0.1954
Burnley,E07000117,-0.5751146338268983,2.057548980878187,0.0527,0.2432,0.1873
Chorley,E07000118,-0.7065130795390762,-1.3339110222229709,0.0324,0.1389,0.2783
Fylde,E07000119,0.5078312514753383,-0.6105096693597812,0.0309,0.1923,0.2977
Hyndburn,E07000120,-0.5916912844964565,1.4281175887353417,0.0461,0.231,0.1893
Lancaster,E07000121,0.7087735871173055,-0.197010822160424,0.0325,0.2172,0.2721
Pendle,E07000122,-0.5418800686003833,1.4130893965245945,0.0467,0.2296,0.2023
Preston,E07000123,0.16007404915910892,0.7040732734790769,0.044,0.2237,0.2462
Ribble Valley,E07000124,0.4540234200136947,-2.085232229842125,0.0206,0.1497,0.3398
Rossendale,E07000125,-0.6058562126260436,-0.04118395411640393,0.0417,0.1704,0.2513
South Ribble,E07000126,-0.8644069338819684,-1.611858164224389,0.0301,0.128,0.264
West Lancashire,E07000127,-1.1100490225912691,-0.7100119109579024,0.039,0.1385,0.2535
Wyre,E07000128,-0.825853744772241,-0.3074553442778564,0.0317,0.182,0.2298
Knowsley,E08000011,-3.033910873859767,1.8737694179139628,0.0652,0.1432,0.1546
Liverpool,E08000012,0.13204746467731474,3.050549450093068,0.0672,0.2606,0.2244
Sefton,E08000014,-0.8113114371656586,0.507689662899943,0.049,0.1825,0.2406
St. Helens,E08000013,-1.8278765235467247,0.5055822062082241,0.0512,0.1514,0.2087
Wirral,E08000015,-0.3141039057671488,0.692701263666366,0.0517,0.1891,0.2526
East Riding of Yorkshire,E06000011,-0.5049859718855509,-0.46095877952275155,0.0358,0.1692,0.2587
"Kingston upon Hull, City of",E06000010,-1.1521036189940481,3.8603495941989165,0.0802,0.239,0.1523
North East Lincolnshire,E06000012,-1.1046951870256272,2.5700590292840717,0.0646,0.224,0.1621
