area_name,area_code,tSNE_1,tSNE_2,unemployment_rate,pct_private_rented_2021,pct_level4,pct_no_quals
Darlington,E06000005,5.0204387,-8.022742,0.0522,0.206,0.2372,0.2481
County Durham,E06000047,-5.8257456,-9.511332,0.0443,0.1712,0.2146,0.275
Hartlepool,E06000001,0.28744417,-18.143148,0.0777,0.1758,0.176,0.3066
Middlesbrough,E06000002,1.3567954,-17.720718,0.0759,0.2104,0.1854,0.2989
Northumberland,E06000057,-1.7328167,-4.4932036,0.0443,0.1642,0.2557,0.2387
Redcar and Cleveland,E06000003,-2.7100601,-16.379555,0.0659,0.1581,0.1893,0.2842
Stockton-on-Tees,E06000004,-0.64050853,-9.680365,0.0574,0.1696,0.2282,0.2377
Gateshead,E08000037,-4.843854,-11.670419,0.0501,0.1639,0.215,0.2804
Newcastle upon Tyne,E08000021,6.1733007,-6.7336226,0.05,0.2278,0.2716,0.2364
North Tyneside,E08000022,-1.9763417,-6.282425,0.0494,0.152,0.2528,0.2372
South Tyneside,E08000023,-3.3867555,-16.499243,0.0656,0.1322,0.1924,0.2798
Sunderland,E08000024,-4.088329,-15.644898,0.0585,0.1481,0.1818,0.2905
Blackburn with Darwen,E06000008,-1.269418,-13.931834,0.0534,0.2016,0.1982,0.2872
Blackpool,E06000009,12.146717,-11.378294,0.061,0.3175,0.1551,0.3133
Cheshire East,E06000049,-6.2956085,12.425536,0.0323,0.1551,0.3195,0.1965
Cheshire West and Chester,E06000050,-6.745438,9.146167,0.0368,0.1572,0.2936,0.2097
Halton,E06000006,-5.32355,-14.160301,0.0556,0.1433,0.1765,0.2691
Warrington,E06000007,-7.921964,8.439573,0.0399,0.1521,0.2745,0.2068
Allerdale,E07000026,-11.137129,-3.6692915,0.036,0.122,0.2277,0.2699
Barrow-in-Furness,E07000027,-3.8593137,-10.08927,0.0463,0.1682,0.1899,0.2539
Carlisle,E07000028,-4.100401,-1.8157068,0.0358,0.1757,0.222,0.2489
Copeland,E07000029,-11.925527,-4.813692,0.0424,0.1104,0.21,0.2696
Eden,E07000030,1.1841646,5.095276,0.0212,0.1809,0.2742,0.2267
South Lakeland,E07000031,0.028752081,14.141018,0.0201,0.1673,0.3335,0.1889
Bolton,E08000001,-2.4934134,-10.013491,0.0494,0.1799,0.2216,0.2635
Bury,E08000002,-0.9347248,-3.4462981,0.0428,0.1766,0.2568,0.2256
Manchester,E08000003,15.284628,-6.5445523,0.0571,0.3232,0.289,0.2311
Oldham,E08000004,-3.8373551,-14.711958,0.0542,0.1771,0.1861,0.2959
Rochdale,E08000005,-2.5607488,-14.980055,0.0592,0.1829,0.1939,0.287
Salford,E08000006,8.906816,-10.144365,0.0522,0.268,0.223,0.2711
Stockport,E08000007,-7.7020583,9.122844,0.039,0.1436,0.2981,0.2064
Tameside,E08000008,-4.0661273,-12.837396,0.0499,0.1754,0.1755,0.2805
Trafford,E08000009,-5.2941346,11.567865,0.0377,0.1532,0.3378,0.1857
Wigan,E08000010,-6.1076984,-11.77141,0.0486,0.1591,0.1954,0.2734
Burnley,E07000117,7.798624,-10.810963,0.0527,0.2432,0.1873,0.2934
Chorley,E07000118,-10.34791,6.2422886,0.0324,0.1389,0.2783,0.2124
Fylde,E07000119,2.0464067,6.661362,0.0309,0.1923,0.2977,0.2117
Hyndburn,E07000120,6.704518,-10.218397,0.0461,0.231,0.1893,0.2799
Lancaster,E07000121,5.7038403,3.6449714,0.0325,0.2172,0.2721,0.2063
Pendle,E07000122,6.747493,-10.159902,0.0467,0.2296,0.2023,0.2816
Preston,E07000123,5.72719,-5.557916,0.044,0.2237,0.2462,0.2345
Ribble Valley,E07000124,-0.48500344,15.03947,0.0206,0.1497,0.3398,0.1833
Rossendale,E07000125,-1.5998139,-3.1390233,0.0417,0.1704,0.2513,0.2396
South Ribble,E07000126,-11.131658,6.7294807,0.0301,0.128,0.264,0.2034
West Lancashire,E07000127,-8.727197,-0.42334405,0.039,0.1385,0.2535,0.2348
Wyre,E07000128,-4.920729,-2.2665272,0.0317,0.182,0.2298,0.2588
Knowsley,E08000011,-2.7128315,-18.761106,0.0652,0.1432,0.1546,0.3467
Liverpool,E08000012,10.880854,-11.469843,0.0672,0.2606,0.2244,0.2872
Sefton,E08000014,-0.6669745,-8.155989,0.049,0.1825,0.2406,0.2514
St. Helens,E08000013,-6.5268836,-13.341461,0.0512,0.1514,0.2087,0.2786
Wirral,E08000015,2.9958365,-7.2700496,0.0517,0.1891,0.2526,0.2342
East Riding of Yorkshire,E06000011,-2.5258417,-0.017834561,0.0358,0.1692,0.2587,0.2337
"Kingston upon Hull, City of",E06000010,2.138057,-18.296965,0.0802,0.239,0.1523,0.3165
North East Lincolnshire,E06000012,1.2880958,-16.313318,0.0646,0.224,0.1621,0.2953
North Lincolnshire,E06000013,-4.1349425,-10.746283,0.048,0.1716,0.1953,0.2618
York,E06000014,3.8656595,12.339562,0.0306,0.1999,0.324,0.1796
Craven,E07000163,1.2405075,11.433683,0.025,0.181,0.3176,0.2027
Hambleton,E07000164,0.56850237,12.146088,0.0256,0.1673,0.3206,0.1963
Harrogate,E07000165,2.9932349,13.557315,0.0257,0.19,0.341,0.1729
Richmondshire,E07000166,7.1289415,4.578651,0.0289,0.2323,0.2696,0.1856
Ryedale,E07000167,0.9612004,3.7875197,0.0274,0.1959,0.273,0.24
Scarborough,E07000168,6.82856,-7.723259,0.0425,0.2167,0.2269,0.2599
Selby,E07000169,-9.676182,6.6095667,0.0348,0.1342,0.261,0.2118
Barnsley,E08000016,-5.8969693,-17.46351,0.0513,0.1719,0.1738,0.3233
Doncaster,E08000017,-1.510723,-15.27618,0.0575,0.1943,0.1703,0.3026
Rotherham,E08000018,-5.670523,-15.361184,0.0523,0.1495,0.1739,0.2984
Sheffield,E08000019,2.0541325,-6.6671934,0.0478,0.1872,0.2566,0.243
Bradford,E08000032,7.732661,-11.545499,0.058,0.23,0.2184,0.2771
Calderdale,E08000033,3.8212957,-7.0706053,0.0497,0.2038,0.2498,0.238
Kirklees,E08000034,1.6568068,-7.0612016,0.0471,0.1907,0.2387,0.2544
Leeds,E08000035,5.451435,-6.3800507,0.0478,0.2179,0.2694,0.2321
Wakefield,E08000036,-7.085652,-15.830473,0.0486,0.1486,0.1835,0.3108
Derby,E06000015,4.4139233,-7.5675154,0.0519,0.2125,0.2421,0.241
Leicester,E06000016,11.41774,-10.731917,0.0618,0.2939,0.2119,0.2856
Nottingham,E06000018,11.711406,-9.891995,0.0637,0.2861,0.2194,0.2559
Rutland,E06000017,0.8069129,13.7326,0.0238,0.1672,0.329,0.1777
Amber Valley,E07000032,-9.140639,-5.0458612,0.0387,0.1463,0.2315,0.2699
Bolsover,E07000033,-6.946542,-18.144196,0.0467,0.1717,0.1584,0.3289
Chesterfield,E07000034,-5.7314544,-10.74497,0.0466,0.1619,0.2102,0.2759
Derbyshire Dales,E07000035,-7.8869047,15.230325,0.0268,0.144,0.3342,0.2154
Erewash,E07000036,-4.8708696,-9.787451,0.0453,0.1683,0.2068,0.2589
High Peak,E07000037,-6.3135295,8.737674,0.0382,0.1605,0.2941,0.2086
North East Derbyshire,E07000038,-12.324188,-3.640121,0.0367,0.1002,0.2218,0.2694
South Derbyshire,E07000039,-6.8199854,4.509123,0.0306,0.147,0.2595,0.2201
Blaby,E07000129,-10.833218,3.8133886,0.0286,0.128,0.2487,0.2222
Charnwood,E07000130,-2.3676202,5.854053,0.0309,0.1737,0.2677,0.205
Harborough,E07000131,-4.996085,16.88675,0.0245,0.1346,0.3184,0.1805
Hinckley and Bosworth,E07000132,-10.27931,-0.120936245,0.0315,0.1439,0.2406,0.2439
Melton,E07000133,-3.4658327,4.9773264,0.0289,0.1717,0.2615,0.2136
North West Leicestershire,E07000134,-10.253025,-2.1424046,0.0344,0.1351,0.2428,0.2598
Oadby and Wigston,E07000135,-9.591315,2.2699666,0.0322,0.1602,0.2475,0.2257
Boston,E07000136,-7.939655,-19.473173,0.0416,0.2029,0.1513,0.327
East Lindsey,E07000137,-8.28137,-20.05181,0.0397,0.2025,0.1806,0.3262
Lincoln,E07000138,10.840614,-7.3700056,0.0494,0.2719,0.2129,0.2191
North Kesteven,E07000139,-5.3378744,4.708528,0.0291,0.1601,0.2543,0.2175
South Holland,E07000140,-9.00658,-17.07122,0.0396,0.1706,0.1579,0.3085
South Kesteven,E07000141,-2.106191,3.7809205,0.0334,0.1802,0.2564,0.2164
West Lindsey,E07000142,-1.972967,-1.068855,0.0381,0.1788,0.2528,0.23
Ashfield,E07000170,-7.499113,-17.319094,0.047,0.1706,0.1509,0.3138
Bassetlaw,E07000171,-7.893138,-7.574757,0.0395,0.1623,0.2024,0.2847
Broxtowe,E07000172,-1.4012898,-0.21748129,0.0387,0.1728,0.2824,0.2313
Gedling,E07000173,-2.447452,-3.4726226,0.0407,0.1589,0.2533,0.2359
Mansfield,E07000174,-7.9069133,-17.90065,0.046,0.1887,0.1636,0.3036
Newark and Sherwood,E07000175,-5.510731,-1.2613473,0.0356,0.1617,0.2416,0.2506
